Route_ID,Weather_Condition,Event_Type,Hour,Day_OfWeek,Temperature,Precipitation,Event_Attendance,Delay_Minutes
47123,Sunny,None,10,4,34.5,0.0,0,9.31
47201,Rainy,Protest,20,5,30.200000000000003,42.7,13708,36.71
47217,Rainy,None,22,3,25.8,39.7,0,18.68
47152,Cloudy,Festival,8,5,37.9,0.0,73749,28.59
47142,Snowy,Festival,10,1,0.8,0.0,67574,21.23
47163,Rainy,Festival,18,4,24.7,17.5,91086,44.64
47210,Rainy,Protest,16,6,28.2,39.9,17887,23.96
47137,Snowy,Protest,9,2,-0.2,0.0,19657,36.12
47163,Sunny,None,19,1,26.9,0.0,0,16.57
47155,Snowy,Sports,14,0,-4.0,0.0,23321,12.6
47113,Cloudy,None,19,5,37.3,0.0,0,8.87
47182,Snowy,Festival,11,4,-2.3,0.0,71162,32.11
47180,Rainy,Festival,9,1,24.3,15.1,92454,41.6
47153,Snowy,Protest,12,5,-4.9,0.0,12768,24.43
47126,Sunny,Festival,18,2,29.0,0.0,70052,32.55
47156,Snowy,None,21,2,-4.7,0.0,0,19.26
47195,Sunny,Protest,19,5,31.9,0.0,17216,18.15
47189,Rainy,Concert,19,5,31.1,49.0,17054,31.81
47177,Snowy,Sports,22,6,1.8,0.0,53817,0.0
47109,Rainy,Concert,11,4,20.4,15.6,14903,21.76
47138,Cloudy,None,5,1,33.7,0.0,0,0.86
47200,Snowy,Sports,18,2,0.4,0.0,29925,19.48
77638,Rainy,Sports,7,3,19.6,13.0,32172,24.34
47149,Cloudy,Sports,8,5,27.7,0.0,36579,22.6
77635,Sunny,Protest,19,6,33.7,0.0,11264,13.44
47187,Sunny,Concert,8,0,33.6,0.0,25610,18.2
47163,Sunny,Sports,11,6,28.6,0.0,20702,7.2
47158,Rainy,Protest,20,4,32.2,18.0,17979,32.25
47200,Sunny,Festival,15,1,27.8,0.0,95133,22.48
77681,Sunny,Festival,16,0,33.7,0.0,53150,20.51
47115,Rainy,Sports,17,1,24.6,22.4,50516,35.37
47112,Cloudy,None,22,3,24.5,0.0,0,0.0
77638,Rainy,None,7,1,31.1,8.5,0,26.03
47196,Rainy,Concert,9,1,26.6,7.0,18440,27.21
47100,Cloudy,Festival,14,5,31.8,0.0,62060,9.19
47142,Sunny,Festival,9,4,33.8,0.0,82141,44.12
47205,Sunny,Sports,23,1,31.8,0.0,59810,19.79
47157,Rainy,None,6,1,13.899999999999999,34.4,0,21.31
47195,Sunny,Sports,5,6,32.4,0.0,27988,0.0
77631,Rainy,None,12,0,27.5,39.7,0,14.91
47110,Snowy,None,9,6,-0.2,0.0,0,21.79
47113,Sunny,None,19,6,39.4,0.0,0,7.41
47139,Sunny,Festival,11,1,28.0,0.0,73119,17.12
47127,Cloudy,Protest,8,0,34.6,0.0,8950,28.43
47150,Snowy,Protest,16,0,1.5,0.0,16864,20.94
47215,Snowy,Festival,15,2,-1.7,0.0,85991,37.04
47174,Snowy,Festival,23,5,-2.9,0.0,89274,21.22
47169,Snowy,Festival,12,4,-1.8,0.0,69407,31.56
67276,Snowy,Protest,17,1,-0.9,0.0,18992,40.1
77641,Sunny,Protest,15,3,32.0,0.0,8875,15.6
47218,Cloudy,None,15,0,22.9,0.0,0,2.9
77642,Cloudy,Sports,16,4,28.3,0.0,49058,15.8
47169,Rainy,None,19,1,26.2,27.1,0,35.57
47192,Sunny,Festival,11,4,41.4,0.0,50666,26.01
47157,Sunny,Protest,9,4,33.3,0.0,14813,32.59
47114,Snowy,Festival,14,4,1.8,0.0,77703,25.41
47211,Cloudy,Sports,8,0,30.3,0.0,20090,36.33
47206,Snowy,Sports,16,2,-4.7,0.0,29542,27.42
77631,Snowy,Protest,5,0,-1.0,0.0,16712,17.5
47124,Snowy,Protest,14,4,-2.1,0.0,16091,36.98
77645,Sunny,Festival,20,5,36.0,0.0,72895,5.03
47116,Sunny,Sports,13,0,39.0,0.0,28069,3.6
47136,Cloudy,Sports,23,6,32.9,0.0,43764,14.71
77682,Snowy,Sports,5,4,0.2,0.0,36716,9.51
47199,Cloudy,Festival,7,1,30.5,0.0,58199,24.12
47152,Cloudy,Concert,22,1,22.2,0.0,30024,6.35
47190,Snowy,None,20,0,0.6,0.0,0,2.37
47190,Sunny,Festival,18,3,27.4,0.0,97884,42.33
47128,Rainy,Sports,19,6,23.1,30.6,39655,31.62
47182,Snowy,Festival,8,1,-4.2,0.0,54570,34.76
47112,Cloudy,Concert,16,6,31.1,0.0,15517,9.64
47167,Sunny,Concert,17,0,24.0,0.0,27367,21.4
47199,Sunny,Festival,23,2,33.3,0.0,81778,20.26
47185,Rainy,Festival,16,3,20.8,16.0,51445,16.69
47215,Rainy,None,20,3,29.6,28.1,0,15.53
47209,Snowy,Protest,8,2,-3.5,0.0,7090,38.15
77645,Cloudy,Festival,10,2,26.6,0.0,87429,23.65
47210,Snowy,Concert,14,1,0.2,0.0,37610,8.95
47189,Snowy,Sports,17,3,1.4,0.0,55025,28.37
77634,Sunny,Sports,6,0,26.0,0.0,24744,8.23
47101,Sunny,Protest,13,3,27.1,0.0,8390,25.61
47132,Cloudy,None,5,5,35.8,0.0,0,0.0
47171,Rainy,Protest,16,5,31.799999999999997,35.6,13885,32.64
47122,Sunny,None,7,6,36.1,0.0,0,19.48
47129,Sunny,Sports,15,3,30.8,0.0,24405,6.11
47116,Snowy,Protest,18,6,1.3,0.0,6766,17.27
47116,Sunny,None,10,5,31.6,0.0,0,1.71
47211,Snowy,None,9,0,-2.8,0.0,0,34.14
47181,Snowy,Festival,15,4,1.4,0.0,76949,32.66
47135,Snowy,Sports,15,1,-0.9,0.0,45723,37.75
47164,Cloudy,None,8,1,33.1,0.0,0,10.71
47140,Sunny,Protest,12,4,26.6,0.0,19260,26.26
47133,Cloudy,None,8,1,28.9,0.0,0,23.57
47205,Sunny,Sports,22,5,34.4,0.0,53774,5.39
47203,Snowy,Sports,13,2,-0.4,0.0,42109,15.85
47156,Rainy,Protest,5,4,24.8,24.9,6724,33.08
47146,Cloudy,Festival,14,6,31.1,0.0,82017,10.17
77681,Sunny,None,10,2,32.9,0.0,0,6.93
47107,Snowy,Concert,8,6,1.6,0.0,24486,15.67
